gold_fineness_grade,caratage,huid_length,mark_components,verification_method,source_url
995,24K,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
958,23K,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
916,22K,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
833,20K,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
750,18K,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
585,14K,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
,999 fine silver,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
,990 fine silver,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
,970 fine silver,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
,925 fine silver,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
,900 fine silver,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
,835 fine silver,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
,800 fine silver,6,BIS mark + fineness grade + jeweller ID + AHC ID (HUID),Verify via 'Verify HUID' feature on the BIS CARE mobile app,BIS hallmarking rules reference
