is_number,title,part_or_section,edition_year,ics_code,technical_committee,standard_type,status,publication_or_revision_date,bis_page_url,pdf_url,access_type,retrieved_at
IS 1293:2019,Plugs and socket-outlets for domestic and similar purposes,,2019,29.120.30,ETD 14,Product Specification,ACTIVE,2019-07-25,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%201293:2019,,Free,2026-09-03
IS 15820:2009,General Requirements for Competence of Assaying and Hallmarking Centres,,2009,03.120.20,MTD 10,Management System / Competence,ACTIVE,2009-03-15,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%2015820:2009,,Free,2026-09-03
IS 1417:2016,Gold and gold alloys - Jewellery / Artefacts - Fineness and Marking,,2016,39.060,MTD 10,Product Specification,ACTIVE,2016-04-12,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%201417:2016,,Free,2026-09-03
IS 13252 (Part 1):2010,Information Technology Equipment - Safety - General Requirements,Part 1,2010,35.020,LITD 08,Safety Standard,ACTIVE,2010-09-10,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%2013252%20(Part%201):2010,,Free,2026-09-03
IS 16046 (Part 2):2018,Secondary Cells and Batteries Containing Alkaline or Other Non-Acid Electrolytes - Portable Secondary Lithium Cells and Batteries,Part 2,2018,29.220.30,ETD 11,Safety Standard,ACTIVE,2018-06-20,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%2016046%20(Part%202):2018,,Free,2026-09-03
IS 694:2010,PVC Insulated Cables for Working Voltages up to and including 1100V,,2010,29.060.20,ETD 09,Product Specification,ACTIVE,2010-11-05,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%20694:2010,,Free,2026-09-03
IS 302 (Part 1):2008,Safety of Household and Similar Electrical Appliances - General Requirements,Part 1,2008,97.030,ETD 32,Safety Standard,ACTIVE,2008-01-18,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%20302%20(Part%201):2008,,Free,2026-09-03
IS 15410:2003,Mineral Water (Packaged),,2003,67.160.20,FAD 14,Product Specification,ACTIVE,2003-08-14,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%2015410:2003,,Free,2026-09-03
IS 14543:2016,Packaged Drinking Water (Other than Packaged Natural Mineral Water),,2016,67.160.20,FAD 14,Product Specification,ACTIVE,2016-12-01,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%2014543:2016,,Free,2026-09-03
IS 4984:2016,High Density Polyethylene Pipes for Water Supply - Specification,,2016,23.040.20,CED 50,Product Specification,ACTIVE,2016-05-19,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/knowyourstandards/indian_standards/isdetails/IS%204984:2016,,Free,2026-09-03
